order	time	location	type	details	lng	lat
550	19:25	102 West Ferry Road, Millwall E14, London, UK	IB & EB	Wharfingers-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some stock in yard, including 3 motor lorries severely damaged.	-0.012426	51.497627
551	19:25	102 West Ferry Road, Millwall E14, London, UK	IB & EB	General Merchants-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some stock in yard, including 3 motor lorries severely damaged.	-0.012426	51.497627
552	19:25	104 West Ferry Road, Millwall E14, London, UK	IB & EB	Millwall Ingot Metals Ltd-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some stock in yard, including 3 motor lorries severely damaged.	-0.011933	51.497921
557	19:30	Pelican Passage, Cambridge Heath Road, E1, London, UK	EB	Cambridge Warehouse Co. (General Merchants)150x100 four floor building used as stores. Ground and 1st severely damaged.	-0.054783	51.523722
557	19:30	Pelican Passage, Cambridge Heath Road, E1, London, UK	EB	Cambridge Warehouse Co. (General Merchants)150x100 four floor building used as stores. Ground and 1st severely damaged.	-0.037282	51.524739
560	19:43	3 Orchard Place, Blackheath, SE3, London, UK	IB	2x1 roof damage	-0.000312	51.468396
561	19:45	 Walter Terrace, Poplar, Greater London, E1 , London, UK	IB	Back room on 1st floor damaged. 	-0.043819	51.515765
562	19:46	198 Lewisham High Street, Lewisham, SE13, London, UK	-	Electric cables burned in debris	-0.01685	51.45163
564	19:51	Otis Street, Bromley, E3, London, UK	IB	Gas and water leakage in street	-0.010013	51.527093
565	19:53	Trinity Wharf, Rotherhithe Street S.E.16, London, UK	IB	5 dumb barges unladen damaged	-0.034761	51.500501
566	19:53	Trinity Wharf, Rotherhithe Street S.E.16, London, UK	IB	2 dumb barges and contents damaged by fire and sunk	-0.034772	51.500261
567	19:53	Trinity Wharf, Rotherhithe Street S.E.16, London, UK	IB	dumb barge and contents damaged by fire and sunk	-0.034407	51.500581
568	20:00	38 Collent Street, E9, London, UK	IB	Back room on ground floor damaged. 	-0.048086	51.543932
569	20:01	Aberdeen Wharf 94 \Wapping High Street, Tower Hamlets, London E1W 2ND, London, UK	EB	dumb barge damaged by explosion and sunk	-0.058794	51.503218
570	20:01	St. Leonard's Street, Bromley E3, London, UK	IB	Gas leakage in street	-0.01189	51.526078
571	20:03	St. Paul's Way, E3, London, UK	IB	2x1 paving damage	-0.030063	51.517261
572	20:05	Rhodeswell Road, E, London, UK	IB	2x1 paving damage	-0.035133	51.518483
574	20:15	Cavell Street- Stepney E1, London, UK	EB & IB	Minor fire and explosion damage	-0.057187	51.516636
575	20:26	307 Stepney Way E1, London, UK	IB	Back room on 2nd floor and contents damaged	-0.045985	51.516778
576	20:35	391 Mile End Road, E, London, UK	EB	Buildings and contents severely damaged	-0.036236	51.524746
579	20:39	Girdlers Road West Kensington w14, London, UK	EB	Roadway, Pavement, 4 inch gas main, a house and it's contents damaged	-0.215993	51.49639
580	20:40	121 Vauxhall Bridge Road, Pimlico SW1, London, UK	IB	3x2 of flooring damage front room and 3rd floor also damaged	-0.137332	51.492453
581	20:40	65 Effra Road, Brixton SW2, London, UK	IB	London County Council Architects Department. IB burned out in garden	-0.114181	51.456718
582	20:41	Summerley Street, Wandworth, SW18, London, UK	IB	Southern trains 1x1 of deck planking damaged on bridge	-0.188962	51.440246
583	20:42	61 Cleaver Street, SE11, London, UK	IB	IB in yard	-0.110415	51.488317
584	20:42	5 Ethelred Strret SE11, London, UK	IB	Minor fire and explosion damage	-0.11273	51.491753
585	20:43	Caldecot Road, Camberwell, SE5, London, UK	IB	London County Council. 85 "U" sub-station 2x1 tar damaged	-0.09434	51.469737
586	20:43	31a Morecambe Street , SE17, London, UK	Eb	Shop and house of 8 rooms damaged	-0.092889	51.489653
589	20:43	43 Browing Street, SE17, London, UK	IB	Back rooms 1st floor damaged	-0.094133	51.49035
590	20:43	15 Manor Place, SE17, London, UK	IB	Southwark Borough Council Public Baths. 80x50 swimming pool and slipper baths damaged	-0.097463	51.489149
592	20:44	Oldfield Grove, Rotherithe SE16, London, UK	IB	Rope and Twine makers: 600x40 building, store and workhouse severely damaged and fallen down. 	-0.046605	51.490472
593	20:45	99 Larkhall lane, Clapham SW4, London, UK	IB	Undertakers: 2x1 roof damage	-0.129633	51.471887
594	20:45	99 Larkhall lane, Clapham SW4, London, UK	IB	2x1 roof damage	-0.129633	51.471887
595	20:45	51 Paradise Road, Clapham, SW4, London, UK	IB	IB burned out in garden	-0.126595	51.472485
597	20:46	7 Pembroke Gardens, Kensington w8, London, UK	IB	IB unignited	-0.200233	51.495339
598	20:46	Jeffreys Road, Clapham SW4, London, UK	IB	Suspected presence of IB	-0.127445	51.470868
600	20:48	Vauxhall Walk, Lambeth, Se11, London, UK	IB	Minor fire and explosion damage	-0.120237	51.489694
601	20:50	Stillington Street, Westminster, SW1, London, UK	IB	2x1 roadway damage	-0.137298	51.494285
602	20:50	Lillington Street, Pimlico, SW1, London, UK	IB	2x2 roadway damage	-0.138247	51.491934
603	20:50	108, Earls Court Road, w8, London, UK	EB	14 rooms severely damaged, 1 male 1 femailekilled	-0.190415	51.48975
604	20:50	79-83c Lexham Gardens, w8, London, UK	EB	three private houses and contents severely damaged	-0.191256	51.496184
605	20:50	36 Willow Way, Sydenahm, SE26, London, UK	IB	IB burned out in garden	-0.059046	51.431836
606	20:50	Lydhurst Avenue, Streatham Hill, SW2, London, UK	EB	All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged	-0.119589	51.437083
607	20:50	Lydhurst Avenue, Streatham Hill, SW2, London, UK	EB	All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged	-0.119021	51.437023
608	20:50	Keymer Road, SW2, London, UK	EB	All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged	-0.119444	51.436872
609	20:50	Faygate Road, SW2, London, UK	EB	All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged	-0.12027	51.438244
610	20:51	20 Albert Embankment, Se11, London, UK	IB	Minor fire and explosion damage	-0.12285	51.489639
611	20:51	Albert Embankment, SE11, London, UK	IB	IB in yard	-0.123	51.489285
612	20:52	Vauxhall Bridge Road, Pimlico, SW1, London, UK	IB	unexploded canon shell 2x1 roadway damage	-0.137353	51.492293
613	20:52	York Hill, West Norwood, SE27, London, UK	IB	IB on road	-0.106803	51.435569
615	20:52	Copenhagen Place, London, UK	IB	2x1 paving damage	-0.030612	51.513612
616	20:52	Bow Road E3, London, UK	IB	2x1 paving damage	-0.025626	51.526897
